Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,68,8,T:System.Drawing.GraphicsUnit,,,,,"mFont = New Font(""Consolas"", 12, GraphicsUnit.Pixel)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,68,8,T:System.Drawing.GraphicsUnit,,,,,"mFont = New Font(""Consolas"", 12, GraphicsUnit.Pixel)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,68,8,F:System.Drawing.GraphicsUnit.Pixel,,,,,"mFont = New Font(""Consolas"", 12, GraphicsUnit.Pixel)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,68,8,T:System.Drawing.Font,,,,,"mFont = New Font(""Consolas"", 12, GraphicsUnit.Pixel)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,68,8,"M:System.Drawing.Font.#ctor(System.String,System.Single,System.Drawing.GraphicsUnit)",,,,,"mFont = New Font(""Consolas"", 12, GraphicsUnit.Pixel)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,68,8,T:System.Drawing.Font,,,,,"mFont = New Font(""Consolas"", 12, GraphicsUnit.Pixel)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,50,4,T:System.Drawing.Graphics,,,,,Private surfaceGraphics As Graphics
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,47,4,T:System.Drawing.Font,,,,,Private mFont As Font
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,35,4,T:System.Drawing.Bitmap,,,,,Private mSurface As Bitmap
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,68,8,T:System.Drawing.GraphicsUnit,,,,,"mFont = New Font(""Consolas"", 12, GraphicsUnit.Pixel)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,68,8,T:System.Drawing.GraphicsUnit,,,,,"mFont = New Font(""Consolas"", 12, GraphicsUnit.Pixel)"
